repo,month,lines,hours,kind
augur,0,32.370630916258634,6.756508575961894,feature
augur,0,330.2029226906901,33.18110276254757,feature
augur,0,118.36896719806701,15.050897745106807,fix
augur,0,145.12093816888896,12.023587368817442,fix
augur,0,24.725948645545046,9.489896166900088,fix
augur,0,94.18761656444691,8.910748101368437,feature
augur,0,22.370115900795238,11.116567587494504,fix
augur,0,75.98766375783508,13.748803598826882,feature
augur,0,119.48382375527127,36.688551487376905,fix
augur,0,9.685099136037202,2.565851210622198,feature
augur,0,62.098116444566514,17.88963867869169,fix
augur,0,67.39506612699873,12.375506129309416,fix
augur,0,130.12040462260862,7.683714530313389,fix
augur,0,69.61213134591165,26.728730292566205,fix
augur,0,18.558715943073068,5.1587032514408095,feature
augur,0,43.163468162655526,17.81287627838546,feature
augur,0,168.7676879768891,24.839030329032976,fix
augur,0,63.66162110229714,19.32950099600799,feature
augur,0,148.3688528356483,46.40183261251756,fix
augur,0,41.24862117069536,6.149311413161254,feature
augur,0,44.8475936439725,8.514505950728575,feature
augur,0,104.57135408308235,7.346944939469063,fix
augur,0,4.788050346828443,7.748339835880526,fix
augur,0,247.18064191759325,16.845164554203265,fix
augur,0,88.05215406899596,11.347313820403194,docs
augur,0,22.531930094956085,17.700915390758716,fix
augur,0,82.79656168869695,10.048862340025877,docs
augur,0,133.17390301112937,12.932794686114526,feature
augur,0,47.74486303164589,6.051172227382307,feature
augur,0,171.7696054034964,26.2002182642145,fix
augur,1,28.004915584004536,8.525307554819161,feature
augur,1,43.7182149635894,9.449103771590762,feature
augur,1,27.034453400906695,5.5569319100516426,feature
augur,1,11.35797348614666,5.047975121996887,docs
augur,1,135.42282557255132,18.944090540297008,feature
augur,1,75.08956755538586,8.876183027145146,feature
augur,1,19.159178702422018,11.22016349800606,fix
augur,1,77.79768364973799,4.21960154950524,fix
augur,1,46.60707644885561,5.8169298117116375,fix
augur,1,117.37274011140512,13.340146963859032,fix
augur,1,52.28122969664064,9.050850325943525,fix
augur,1,121.27675692710916,9.444646976781518,fix
augur,1,32.07043803160999,4.216976964211719,fix
augur,1,232.49857826717277,12.321207899185767,docs
augur,1,108.9568513416905,24.58220790320745,feature
augur,1,94.72486501475808,9.6853397213446,feature
augur,1,52.00170234109364,12.603949844880116,fix
augur,1,24.2716872110422,8.307064836999245,fix
